Timestamp,What do you think people use chatGPT for?,Which gender identity do you best identify with?,What is your age group?,How often do you use ChatGPT?,What faculty are you in?,What is your Year of Study,What is your current post-secondary role? ,When do you think using ChatGPT for an assignment draws the line between working smart and simply not working at all?,Do you think ChatGPT is more of a useful tool or a cheating engine?,"Students have been cheating well before the release of ChatGPT - for example, contract cheating. However, because ChatGPT is a free and powerful tool, cheating has become much easier. Thus, it begs the question - why do students cheat, generally speaking?","Looking at the possible reasons in the previous question, we now consider why students would have such feelings that would make them want to cheat. We consider looking at the bigger picture, the possible role our education system plays (note: we are generalizing the education system since ones such as Denmark’s is considered to be excellent by popular belief).
Perhaps AI has surpassed us in order to show us that we have to re-evaluate the format of our assigned work and standardized testing, and shift towards non-traditional methods.
Is the proficiency of ChatGPT causing the rise in cheating, or is the bigger problem at hand the education system?","How should academic institutions regulate the students' use of ChatGPT? (if you select more than one, please ensure that they are not contradictory!)","If academic institutions were to use ChatGPT, what should it be used for/as?",What University/College are you affiliated with? (optional),Any further comments regarding ChatGPT?,What is your year of study?,Email Address
2/26/2023 18:32:30,,Female,18-19,Few times a week,Business,,Pursuing a Bachelor,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,All of the above,Both students and the education system are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments","A research tool, A digital tutor providing personalized asynchronous learning",Other,,1st Year,
2/26/2023 19:39:24,,Male,18-19,I am not familiar with it,Science,,Pursuing a Bachelor,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,All of the above,All 3 are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Holding in person tests as much as possible","A research tool, A digital tutor providing personalized asynchronous learning, Marking assessments",Other,,1st Year,
2/26/2023 19:52:29,,Male,18-19,Once a week,Arts,,Pursuing a diploma,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,All of the above,All 3 are part of the problem,Nothing needs to be done,It should not be used,Other,,1st Year,
2/26/2023 20:07:37,,Male,18-19,Very rarely,Science,,Pursuing a Bachelor,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,All of the above,All 3 are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible","A research tool, A digital tutor providing personalized asynchronous learning",TMU,,1st Year,
2/26/2023 20:50:50,,Male,18-19,Every day,Science,,Pursuing a Bachelor,It is difficult to say,Useful tool,All of the above,Students are the main problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,A research tool,,,1st Year,
2/27/2023 2:02:00,,Female,18-19,Very rarely,Communication Design,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Sheer laziness due to disconnect from learning material,The education system is the main problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Changing the grading system",Other,TMU,"personally i think its a good tool for essays in terms of helping students get started, as starting essays in the first place can be difficult for some students. but using chatgpt to write paragraphs for you shouldnt be condoned. ",2nd Year,
2/27/2023 8:37:10,,Male,18-19,"I know of it, but I have never tested it out myself",Science,,"Pursuing a diploma, Pursuing a Bachelor","When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,All of the above,Students are the main problem,"Surveilling the working process for assignments, Holding in person tests as much as possible","A research tool, Marking assessments",,,1st Year,
2/27/2023 15:26:47,,Male,18-19,Very rarely,Science,,Pursuing a Bachelor,It is difficult to say,Cheating engine,All of the above,ChatGPT is the main problem,It should be banned outright,A research tool,TMU,,1st Year,
2/27/2023 16:44:48,,Female,20-29,Few times a week,Science,,Pursuing a Bachelor,It is difficult to say,Useful tool,All of the above,All 3 are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments","A research tool, A digital tutor providing personalized asynchronous learning",,,1st Year,
2/27/2023 19:12:41,,Male,18-19,Few times a week,Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Sheer laziness due to disconnect from learning material,All 3 are part of the problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,A research tool,TMU,,1st Year,
2/27/2023 23:29:11,,Male,18-19,Very rarely,Other,,Pursuing a diploma,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,Low expectations for success,Students are the main problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,A digital tutor providing personalized asynchronous learning,,,1st Year,
2/28/2023 8:28:08,,Male,40-49,Once a week,Science,,Professor,It depends on the assignment,Useful tool,All of the above,Students are the main problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,"A research tool, A digital tutor providing personalized asynchronous learning, Marking assessments",,,5th Year or above,
2/28/2023 9:00:12,,Male,20-29,Very rarely,Science,,Teaching Assistant,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,All of the above,Both students and the education system are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments","A research tool, A digital tutor providing personalized asynchronous learning",TMU,"I've seen some high school teachers integrating ChatGPT into the classroom. One example was for an English test, the professor asked ChatGPT to write an essay about a Shakespeare book. The paper was riddled with incorrect thoughts, bad citations, etc. However, the teacher removed the invalid sections, and presented the students with a skeleton essay that they needed to fill out. There are situations where ChatGPT can be used to streamline the assignment creation process from the academic side.",5th Year or above,
2/28/2023 9:18:40,,Male,30-39,"I know of it, but I have never tested it out myself",Science,,Professor,Other,Useful tool,All of the above,Both students and the education system are part of the problem,"Holding in person tests as much as possible, Changing the grading system, Other","A research tool, A digital tutor providing personalized asynchronous learning, Marking assessments",TMU,,5th Year or above,
2/28/2023 11:51:40,,Male,30-39,Every day,Science,,Pursuing a Master,It depends on the assignment,Useful tool,Other,Other,Holding in person tests as much as possible,"A research tool, A digital tutor providing personalized asynchronous learning, Marking assessments",TMU,It is awesome.,2nd Year,
2/28/2023 16:18:30,,Female,40-49,"I know of it, but I have never tested it out myself",Arts,,Part-time Faculty,It depends on the assignment,Cheating engine,All of the above,Both students and the education system are part of the problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,It should not be used,TMU,,5th Year or above,
3/1/2023 16:11:18,,Female,20-29,"I know of it, but I have never tested it out myself",Science,,Pursuing a Bachelor,It is difficult to say,Useful tool,Sheer laziness due to disconnect from learning material,Both students and the education system are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible","A research tool, A digital tutor providing personalized asynchronous learning, Marking assessments",TMU,,1st Year,
3/1/2023 16:13:37,,Female,18-19,Very rarely,Science,,Pursuing a diploma,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,All of the above,All 3 are part of the problem,Changing the formatting of graded material and other regulations,A research tool,,,1st Year,
3/2/2023 10:14:09,,Male,18-19,Once a week,Science,,Pursuing a Bachelor,It depends on the assignment,Useful tool,Sheer laziness due to disconnect from learning material,Both students and the education system are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments",A digital tutor providing personalized asynchronous learning,,,1st Year,
3/2/2023 21:58:28,,Male,18-19,Every day,Science,,Pursuing a Bachelor,It depends on the assignment,Useful tool,All of the above,All 3 are part of the problem,"Surveilling the working process for assignments, Holding in person tests as much as possible, Changing the grading system","A digital tutor providing personalized asynchronous learning, Marking assessments",TMU,,1st Year,
3/5/2023 12:15:21,,Female,18-19,Very rarely,Science,,Pursuing a Bachelor,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,All of the above,All 3 are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Holding in person tests as much as possible, Changing the grading system","A research tool, A digital tutor providing personalized asynchronous learning",TMU,,1st Year,
3/5/2023 12:17:16,,Female,18-19,"I know of it, but I have never tested it out myself",Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,All of the above,Both students and the education system are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible","A research tool, A digital tutor providing personalized asynchronous learning",TMU,,1st Year,
3/5/2023 14:09:53,,Male,18-19,I am not familiar with it,Science,,Pursuing a Bachelor,It is difficult to say,Cheating engine,Sheer laziness due to disconnect from learning material,All 3 are part of the problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,It should not be used,Other,,1st Year,
3/5/2023 14:10:40,,Male,20-29,Once a week,Science,,Pursuing a Bachelor,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,Sheer laziness due to disconnect from learning material,Students are the main problem,Holding in person tests as much as possible,A research tool,,,1st Year,
3/5/2023 14:14:09,,Other,50+,I am not familiar with it,Science,,"Pursuing a diploma, Pursuing a Bachelor, Pursuing a Master, Pursuing a PhD, Teaching Assistant, ",Other,Cheating engine,Other,Other,"Nothing needs to be done, Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible, Changing the grading system, It should be banned outright",A research tool,Other,,3rd Year,
3/5/2023 14:14:20,,Male,18-19,Few times a week,Science,,Pursuing a diploma,It depends on the assignment,Useful tool,Sheer laziness due to disconnect from learning material,Both students and the education system are part of the problem,Surveilling the working process for assignments,A research tool,,,1st Year,
3/5/2023 14:16:03,,Male,18-19,"I know of it, but I have never tested it out myself",Science,,"Pursuing a diploma, Pursuing a Bachelor","When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Sheer laziness due to disconnect from learning material,Students are the main problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments",A research tool,Other,,1st Year,
3/5/2023 14:16:39,,Male,18-19,Very rarely,Science,,Pursuing a Bachelor,It is difficult to say,Cheating engine,All of the above,All 3 are part of the problem,It should be banned outright,It should not be used,TMU,,1st Year,
3/5/2023 14:17:48,,Other,50+,Every day,Other,,"Pursuing a diploma, Pursuing a Bachelor, Pursuing a Master, Pursuing a PhD, Teaching Assistant, Other",Other,Cheating engine,All of the above,All 3 are part of the problem,"Nothing needs to be done, Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible, Changing the grading system, It should be banned outright, tests","A research tool, A digital tutor providing personalized asynchronous learning, Marking assessments, It should not be used, Other",Other,thank you for today ,5th Year or above,
3/5/2023 14:18:28,,Male,18-19,Once a week,Science,,Pursuing a Bachelor,This line does not exist,Cheating engine,Other,The education system is the main problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Changing the grading system","A digital tutor providing personalized asynchronous learning, Other",TMU,,1st Year,
3/5/2023 14:32:59,,Male,20-29,Few times a week,Science,,Pursuing a Bachelor,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,Low expectations for success,Both students and the education system are part of the problem,"Surveilling the working process for assignments, Holding in person tests as much as possible","A research tool, A digital tutor providing personalized asynchronous learning, Marking assessments",,,1st Year,
3/5/2023 14:36:16,,Male,20-29,Once a week,Engineering,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Low expectations for success,Both students and the education system are part of the problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,"A research tool, A digital tutor providing personalized asynchronous learning",,,3rd Year,
3/5/2023 14:39:51,,Male,18-19,Very rarely,Science,,Pursuing a Bachelor,It is difficult to say,Useful tool,All of the above,All 3 are part of the problem,Holding in person tests as much as possible,A research tool,,,1st Year,
3/5/2023 14:41:11,,Male,18-19,"I know of it, but I have never tested it out myself",Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,All of the above,ChatGPT is the main problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments","A research tool, A digital tutor providing personalized asynchronous learning, Other",TMU,,1st Year,
3/5/2023 14:44:04,,Male,18-19,Very rarely,Engineering,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Sheer laziness due to disconnect from learning material,Both students and the education system are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Holding in person tests as much as possible",A research tool,Other,"Despite that ChatGPT is notorious for having the ability to write assignments for students in seconds, it can be a useful tool to generate ideas when one feels stuck. Ultimately, it comes down to whether the student truly wants to learn.",1st Year,
3/5/2023 15:03:33,,Female,20-29,Very rarely,Science,,Pursuing a Bachelor,It is difficult to say,Useful tool,Sheer laziness due to disconnect from learning material,The education system is the main problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,A research tool,TMU,,1st Year,
3/5/2023 15:08:36,,Female,20-29,"I know of it, but I have never tested it out myself",Science,,Pursuing a Bachelor,It depends on the assignment,Useful tool,All of the above,The education system is the main problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Holding in person tests as much as possible",A research tool,,,1st Year,
3/5/2023 15:09:26,,Male,18-19,Very rarely,Science,,Pursuing a Bachelor,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,Other,The education system is the main problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,Other,TMU,,1st Year,
3/5/2023 15:31:35,,Male,18-19,Very rarely,Science,,Pursuing a Bachelor,It depends on the assignment,Useful tool,Other,All 3 are part of the problem,Holding in person tests as much as possible,A research tool,TMU,,1st Year,
3/5/2023 15:53:24,,Male,18-19,Few times a week,Engineering,,Pursuing a Master,It depends on the assignment,Useful tool,Other,All 3 are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible",A research tool,,"If ChatGPT has been explicitly banned for an assignment or exam, using it constitutes an attempt to gain an unfair advantage over other students and should be treated with the same disdain as any other form of cheating. ",1st Year,
3/5/2023 16:50:33,,Female,18-19,Very rarely,Science,,"Pursuing a diploma, Pursuing a Bachelor",It is difficult to say,Cheating engine,All of the above,All 3 are part of the problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,A research tool,TMU,,1st Year,
3/5/2023 17:10:23,,Female,20-29,Very rarely,Science,,Pursuing a Bachelor,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Cheating engine,All of the above,Both students and the education system are part of the problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,A research tool,TMU,,1st Year,
3/5/2023 17:32:13,,Male,18-19,Few times a week,Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Cheating engine,Sheer laziness due to disconnect from learning material,Students are the main problem,Changing the grading system,It should not be used,TMU,N/A,1st Year,
3/5/2023 17:37:52,,Female,18-19,"I know of it, but I have never tested it out myself",Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Cheating engine,All of the above,All 3 are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible",A research tool,TMU,,1st Year,
3/5/2023 17:46:13,,Female,18-19,Very rarely,Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Low expectations for success,The education system is the main problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Changing the grading system",A research tool,TMU,,1st Year,
3/5/2023 18:28:07,,Male,18-19,Very rarely,Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,Sheer laziness due to disconnect from learning material,The education system is the main problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,A research tool,TMU,,1st Year,
3/5/2023 21:31:16,,Male,18-19,"I know of it, but I have never tested it out myself",Science,,Pursuing a Bachelor,It is difficult to say,Useful tool,All of the above,Both students and the education system are part of the problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,A research tool,,,1st Year,
3/5/2023 22:23:31,,Male,20-29,Few times a week,Science,,Pursuing a Bachelor,This line does not exist,Useful tool,Sheer laziness due to disconnect from learning material,Students are the main problem,"Holding in person tests as much as possible, Changing the grading system",A digital tutor providing personalized asynchronous learning,Other,,3rd Year,
3/6/2023 0:29:51,,Male,18-19,"I know of it, but I have never tested it out myself",Science,,Pursuing a diploma,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,All of the above,The education system is the main problem,"Holding in person tests as much as possible, Changing the grading system","A research tool, A digital tutor providing personalized asynchronous learning, Marking assessments",TMU,,1st Year,
3/6/2023 11:07:48,,Female,18-19,Very rarely,Science,,Pursuing a Bachelor,Other,Useful tool,All of the above,All 3 are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments","A digital tutor providing personalized asynchronous learning, Other",TMU,,1st Year,
3/6/2023 21:24:39,,Male,18-19,Once a week,Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,All of the above,The education system is the main problem,"Holding in person tests as much as possible, Changing the grading system","A research tool, A digital tutor providing personalized asynchronous learning",TMU,,1st Year,
3/7/2023 13:06:41,,Male,18-19,"I know of it, but I have never tested it out myself",Science,,Pursuing a Bachelor,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,Low expectations for success,The education system is the main problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Holding in person tests as much as possible",A digital tutor providing personalized asynchronous learning,TMU,,1st Year,
3/7/2023 16:04:50,,Male,18-19,Very rarely,Other,,Pursuing a Bachelor,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,All of the above,ChatGPT is the main problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,A digital tutor providing personalized asynchronous learning,Other,,1st Year,
3/8/2023 9:48:04,,Female,18-19,Very rarely,Science,,Pursuing a Bachelor,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Cheating engine,Sheer laziness due to disconnect from learning material,All 3 are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible","A research tool, A digital tutor providing personalized asynchronous learning",TMU,,1st Year,
3/8/2023 19:54:25,,Female,18-19,"I know of it, but I have never tested it out myself",Other,,Pursuing a Bachelor,It is difficult to say,Useful tool,Other,Both students and the education system are part of the problem,Nothing needs to be done,A digital tutor providing personalized asynchronous learning,Other,,1st Year,
3/8/2023 19:55:05,,Female,20-29,"I know of it, but I have never tested it out myself",Other,,Pursuing a Bachelor,It is difficult to say,Useful tool,Low expectations for success,The education system is the main problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,"A research tool, A digital tutor providing personalized asynchronous learning",Other,,3rd Year,
3/9/2023 17:12:44,,Male,20-29,"I know of it, but I have never tested it out myself",Other,,Pursuing a Doctor of Pharmacy,It depends on the assignment,Useful tool,All of the above,The education system is the main problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,A research tool,Other,,1st Year,
3/10/2023 0:11:08,,Male,18-19,Every day,Science,,Pursuing a Bachelor,It depends on the assignment,Useful tool,Sheer laziness due to disconnect from learning material,The education system is the main problem,Changing the grading system,"A research tool, A digital tutor providing personalized asynchronous learning, Marking assessments",TMU,,1st Year,
3/10/2023 10:10:18,,Male,18-19,Few times a week,Science,,Pursuing a Bachelor,It depends on the assignment,Useful tool,All of the above,The education system is the main problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Holding in person tests as much as possible, Changing the grading system","A research tool, A digital tutor providing personalized asynchronous learning, Marking assessments",,I like persian jesus survey better,1st Year,
3/10/2023 10:11:49,,Male,20-29,Very rarely,Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,All of the above,Both students and the education system are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments",It should not be used,TMU,177013,1st Year,
3/13/2023 13:23:05,,Male,18-19,"I know of it, but I have never tested it out myself",Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Useful tool,All of the above,Both students and the education system are part of the problem,It should be banned outright,A digital tutor providing personalized asynchronous learning,,,1st Year,
3/13/2023 14:07:06,,Female,20-29,"I know of it, but I have never tested it out myself",Science,,Pursuing a Bachelor,It depends on the assignment,Useful tool,All of the above,The education system is the main problem,Other ,A research tool,,,3rd Year,
3/13/2023 14:38:07,,Male,20-29,Every day,Science,,Pursuing a Bachelor,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Cheating engine,Sheer laziness due to disconnect from learning material,The education system is the main problem,It should be banned outright,A research tool,,,1st Year,
3/13/2023 14:44:28,,Female,20-29,"I know of it, but I have never tested it out myself",Business,,"Pursuing a Bachelor, Other",It depends on the assignment,Useful tool,All of the above,All 3 are part of the problem,Changing the grading system,"A research tool, A digital tutor providing personalized asynchronous learning",,,1st Year,
3/13/2023 15:38:54,,Female,18-19,Very rarely,Business,,Pursuing a diploma,"When you cut the working process in order to reach completion, but you do not actually grasp the content",Cheating engine,Sheer laziness due to disconnect from learning material,Students are the main problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,A research tool,Other,,1st Year,
3/14/2023 3:26:13,,Male,18-19,Few times a week,Engineering,,"Pursuing a diploma, Pursuing a Bachelor",It depends on the assignment,Useful tool,All of the above,The education system is the main problem,Educating students on the (current) limitations of AI as well as the consequences of plagiarism,"A research tool, A digital tutor providing personalized asynchronous learning",,,1st Year,
3/14/2023 4:36:45,,Female,18-19,"I know of it, but I have never tested it out myself",Other,,Pursuing a Bachelor,When your assignment lacks your soul (so if ChatGPT would not produce the same result as you in creative disciplines),Useful tool,Other,All 3 are part of the problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Holding in person tests as much as possible",A research tool,,,1st Year,
3/14/2023 5:00:12,,Male,20-29,Once a week,Business,,Pursuing a Bachelor,It depends on the assignment,Cheating engine,Low expectations for success,ChatGPT is the main problem,Surveilling the working process for assignments,A research tool,Other,,2nd Year,
3/16/2023 10:05:52,,Male,18-19,Once a week,Science,,Pursuing a Bachelor,This line does not exist,Useful tool,All of the above,All 3 are part of the problem,"Surveilling the working process for assignments, Holding in person tests as much as possible, Changing the grading system",A research tool,TMU,,1st Year,
3/20/2023 14:07:40,,Male,18-19,Few times a week,Science,,Pursuing a Bachelor,It depends on the assignment,Useful tool,Sheer laziness due to disconnect from learning material,ChatGPT is the main problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible",A digital tutor providing personalized asynchronous learning,,,1st Year,
3/20/2023 15:00:04,,Male,18-19,Few times a week,Science,,Pursuing a Bachelor,It depends on the assignment,Useful tool,All of the above,ChatGPT is the main problem,"Educating students on the (current) limitations of AI as well as the consequences of plagiarism, Surveilling the working process for assignments, Holding in person tests as much as possible",It should not be used,,,1st Year,
